cell,err_only,"C: (is_neg1, err)","S2: (sat, is_neg1, err)","lognorm_err: (Σlog², err)","lognorm_neg1_err: (Σlog², is_neg1, err)",oracle_best
daisy_mamil3_5_0,6.71461e-10,6.71461e-10,6.71461e-10,0.0487891,0.0487891,6.71461e-10
daisy_mamil4_7_1em2,1.0199,1.0199,0.785204,0.593786,0.593786,0.426489
lotka_volterra_6_1em6,1.88696e-07,1.88696e-07,1.88696e-07,0.00239995,0.00239995,1.88696e-07
aircraft_pitch_3_1em6,1.04098e-05,0.00169775,0.00169775,0.504921,0.504921,1.04098e-05
cstr_3_1em8,65.7629,65.7629,5.60569,0.5519,0.5519,0.454069
lotka_volterra_3_1em2,0.147625,0.147625,0.147625,0.515741,0.515741,0.1051
hiv_0_1em8,0.0140365,0.0140365,0.0140365,0.0141191,0.0141191,0.0139801
bicycle_model_4_1em6,5.06153e-05,5.06153e-05,5.06153e-05,0.0289795,0.0289795,3.10898e-06
bicycle_model_6_1em8,1.54495e-06,1.54495e-06,1.54495e-06,0.472249,0.472249,1.54495e-06
flexible_arm_2_1em8,5.44757e-07,5.44757e-07,5.44757e-07,0.0153843,0.0153843,5.44757e-07
forced_lotka_volterra_0_1em8,2.33749e-06,1.41373e-05,1.41373e-05,0.429983,0.429983,2.33749e-06
lotka_volterra_0_1em6,7.62737e-07,7.62737e-07,7.62737e-07,0.466786,0.466786,7.62737e-07
mass_spring_damper_4_1em4,3.79504e-05,3.79504e-05,3.79504e-05,0.00152778,0.00152778,3.79504e-05
forced_lotka_volterra_2_1em4,0.00307056,0.00139838,0.00139838,1.45583,1.45583,0.00139838
seir_8_1em6,0.92387,0.92387,0.92387,0.135652,0.135652,0.135652
bicycle_model_9_1em6,1.33953e-05,1.33953e-05,1.33953e-05,0.278054,0.278054,6.24275e-06
forced_lotka_volterra_8_1em4,0.0138338,0.00148822,0.00148822,1.2589,1.2589,0.00148822
daisy_mamil3_5_1em4,0.00445141,0.00445141,0.00445141,1.20492,1.20492,0.00445141
slow_fast_7_0,8.37941e-12,8.37941e-12,8.37941e-12,0.00113045,0.00113045,8.37941e-12
mass_spring_damper_7_1em8,1.05479e-09,1.05479e-09,1.05479e-09,0.000249499,0.000249499,1.05479e-09
harmonic_oscillator_6_1em8,7.91079e-11,7.91079e-11,7.91079e-11,7.91079e-11,7.91079e-11,7.91079e-11
forced_lotka_volterra_4_1em8,1.79958e-05,9.74121e-05,9.74121e-05,1.18545,1.18545,1.79958e-05
quadrotor_2_1em6,3.80783e-05,0.000542267,0.000542267,0.0291566,0.0291566,6.22112e-06
brusselator_4_1em8,1.6346e-07,1.6346e-07,1.6346e-07,0.300688,0.300688,1.6346e-07
brusselator_1_0,1.90925e-12,1.90925e-12,1.90925e-12,0.0297222,0.0297222,1.90925e-12
seir_9_1em8,0.0763578,0.0763578,0.0763578,0.0590217,0.0590217,6.15668e-07
