 Count  Overhead File                                                                      Line Function
     1         1 @HomotopyContinuation/src/homotopies/coefficient_homotopy.jl                ? newton!(x̄::Vector{ComplexF64}, NC::HomotopyContinuation.NewtonCorrector, H::CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x₀::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}; μ::Float64, ω::Float64, extended_precision::Bool, accurate_μ::Bool, first_correction::Bool)
     1         0 @VectorizationBase/src/llvm_intrin/intrin_funcs.jl                        484 vfmadd
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               855 #ldiv!#36
     1         0 @HomotopyContinuation/src/linear_algebra.jl                               493 apply_row_scaling!(W::HomotopyContinuation.MatrixWorkspace{Matrix{ComplexF64}})
     2         0 @HomotopyContinuation/src/tracker.jl                                      865 step!(tracker::Tracker{HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, debug::Bool)
     2         0 @HomotopyContinuation/src/predictor.jl                                    287 predict!
     2         0 @HomotopyContinuation/src/predictor.jl                                    304 predict!(x̂::Vector{ComplexF64}, pred::HomotopyContinuation.Predictor, method::HomotopyContinuation.PredictionMethod.methods, H::HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x::Vector{ComplexF64}, t::ComplexF64, Δt::ComplexF64)
     2         0 @Base/complex.jl                                                          416 cdiv
     2         0 @VectorizationBase/src/vecunroll/fmap.jl                                   16 fmap
     2         0 @HomotopyContinuation/src/DoubleDouble.jl                                  40 two_diff
     2         0 @Base/broadcast.jl                                                        993 copyto!
     2         0 @Base/array.jl                                                            313 copyto!
     2         0 @Base/array.jl                                                            286 copyto!
     2         0 @Base/genericmemory.jl                                                    151 unsafe_copyto!
     2         2 @HomotopyContinuation/src/linear_algebra.jl                               291 ldiv_upper!
     2         0 @HomotopyContinuation/src/DoubleDouble.jl                                  39 two_diff
     2         0 @VectorizationBase/src/special/exp.jl                                     396 fast_fma
     2         0 @VectorizationBase/src/base_defs.jl                                       353 fma
     2         0 @VectorizationBase/src/vecunroll/fmap.jl                                  233 vfma
     2         0 @VectorizationBase/src/llvm_intrin/intrin_funcs.jl                        437 vfma
     2         2 @HomotopyContinuation/src/model_kit/taylor.jl                             854 taylor_op_mul3(V::Val{2}, x::TruncatedTaylorSeries{3, ComplexF64}, y::TruncatedTaylorSeries{2, ComplexF64}, z::TruncatedTaylorSeries{2, ComplexF64})
     2         0 @HomotopyContinuation/src/linear_algebra.jl                               629 inverse_inf_norm_est(lu::LU{ComplexF64, Matrix{ComplexF64}, Vector{Int64}}, d_l::Vector{Float64}, d_r::Vector{Float64}, row_scaling::Nothing, work::Vector{ComplexF64}, rwork::Vector{Float64})
     2         0 @HomotopyContinuation/src/linear_algebra.jl                               348 lu_ldiv_adj!
     2         2 @HomotopyContinuation/src/linear_algebra.jl                               553 fixed_precision_iterative_refinement!(x::Vector{ComplexF64}, M::HomotopyContinuation.MatrixWorkspace{Matrix{ComplexF64}}, b::Vector{ComplexF64}, norm::WeightedNorm{InfNorm})
     2         0 @HomotopyContinuation/src/model_kit/operations.jl                         240 op_add3
     2         2 @HomotopyContinuation/src/linear_algebra.jl                               172 lu!(A::Matrix{ComplexF64}, ipiv::Vector{Int64})
     2         0 @Base/broadcast.jl                                                        999 copyto!
     2         0 @VectorizationBase/src/base_defs.jl                                        99 mul_fast
     2         0 @VectorizationBase/src/vecunroll/fmap.jl                                  111 vmul_fast
     2         0 @VectorizationBase/src/llvm_intrin/binary_ops.jl                          115 vmul_fast
     2         2 @VectorizationBase/src/llvm_intrin/binary_ops.jl                          115 macro expansion
     2         2 @Base/intfuncs.jl                                                         394 power_by_squaring(x_::ComplexF64, p::Int32; mul::typeof(*))
     2         0 @HomotopyContinuation/src/homotopies/toric_homotopy.jl                    169 coeffs!(H::HomotopyContinuation.ToricHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, t::ComplexF64)
     2         0 @VectorizationBase/src/special/exp.jl                                     795 vexp_generic_core
     2         0 @VectorizationBase/src/base_defs.jl                                        91 +
     2         0 @VectorizationBase/src/vecunroll/fmap.jl                                  111 vadd
     2         0 @VectorizationBase/src/llvm_intrin/binary_ops.jl                           24 vadd
     2         0 @VectorizationBase/src/llvm_intrin/binary_ops.jl                           30 vadd_fast
     2         2 @VectorizationBase/src/llvm_intrin/binary_ops.jl                           30 macro expansion
     2         0 @HomotopyContinuation/src/tracker.jl                                      675 init!(tracker::Tracker{CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, Matrix{ComplexF64}}, x₁::Vector{ComplexF64}, t₁::Float64, t₀::Float64; ω::Float64, μ::Float64, τ::Float64, max_initial_step_size::Float64, keep_steps::Bool, extended_precision::Bool)
     2         0 @HomotopyContinuation/src/newton_corrector.jl                             207 init_newton!
     2         0 @HomotopyContinuation/src/newton_corrector.jl                             234 init_newton!(x̄::Vector{ComplexF64}, NC::HomotopyContinuation.NewtonCorrector, H::CoefficientHomotopy{CompiledSystem{(0x606e10ec245c80ec, 1)}}, x₀::Vector{ComplexF64}, t::ComplexF64, J::HomotopyContinuation.Jacobian{Matrix{ComplexF64}}, norm::WeightedNorm{InfNorm}; a::Float64, extended_precision::Bool)
