sp,interp,param_or_ic_label,role,truth_val,estimate,actual_delta,predicted_delta,ift_mismatch,worst_dd_rel,cond_J,n_solutions_prod,closest_dist
33.44000,agp_robust_se_times_rq,E_4,state_derivative,NaN,NaN,-3.668018e+125,-2.520231e-184,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,In_4,state_derivative,NaN,NaN,-2.000839e+100,1.134256e-184,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,E_0,state_ic,1.820000e-01,-1.004357e+28,-1.004357e+28,-4.423534e-186,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,S_4,state_derivative,NaN,NaN,3.705068e+123,6.707422e-204,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,E_3,state_derivative,NaN,NaN,-1.203874e+101,7.873986e-207,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,In_6,state_derivative,NaN,NaN,-1.857432e+149,-4.976900e-208,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,E_5,state_derivative,NaN,NaN,-1.117588e+150,8.271608e-209,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,E_2,state_derivative,NaN,NaN,-3.951215e+76,2.708391e-217,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
33.44000,agp_robust_se_times_rq,E_1,state_derivative,NaN,NaN,-1.296822e+52,9.126921e-241,1.000000e+00,1.480142e+02,7.678903e+255,2,1.132918e+150
4.00000,agp_robust,Npop_2,state_derivative,NaN,NaN,0.000000e+00,2.469716e-36,NaN,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,In_0,state_ic,4.180000e-01,9.346892e+17,9.346892e+17,-4.384437e-39,1.000000e+00,1.607949e+02,1.189117e+192,4,3.983018e+96
4.00000,agp_robust,Npop_1,state_derivative,NaN,NaN,0.000000e+00,-1.536547e-51,NaN,1.607949e+02,1.189117e+192,4,3.983018e+96
