case_id	source_method_key	source_method_label	target_method_key	target_method_label	seed_primary_role	seed_roles	source_seed_benchmark_rmse	source_seed_max_rel_err	source_seed_fit_objective	target_cold_oracle_rmse	target_cold_selected_rmse	transfer_best_rmse	transfer_selected_rmse	transfer_best_fit_objective	transfer_selected_fit_objective	distance_to_target_oracle	distance_to_target_selected	same_target_oracle	same_target_selected	same_target_any	benchmark_improved_vs_seed	fit_improved_vs_seed	status	reason	transfer_runtime_seconds
crauste_7_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_2	top_fit_2	10.42860039450673	151.4138577674123	1.2702686027701936e9	2.22382879566379	2.385488832727355	2.6726948897888527	10.42860039450673	1.6036500015214915e9	1.2702686027701936e9	0.9999956392566312	0.9999980000020001	false	false	false	true	false	ok		5.790902198
crauste_7_1em4	scalar_log	Scalar log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_3	top_fit_3	10.365672482640257	150.7957832068781	1.550471244365784e9	2.22382879566379	2.385488832727355	3.3200877245433813	3.3200877245433813	5.908492494943364e7	5.908492494943364e7	0.9969212386414241	0.9999979966619958	false	false	false	true	true	ok		5.276059816
crauste_7_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	oracle_best	oracle_best,top_fit_2	0.3565602453218376	0.9999862652718196	266293.65920579806	3.678009040380705	3.678009040380705	0.31348767407431316	0.31348767407431316	24437.73624308714	24437.73624308714	0.9999967684305334	0.9999967684305334	false	false	false	true	true	ok		109.697905936
crauste_7_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	fit_selected	fit_selected,top_fit_1	2.445712379564965	43.24778761061947	128485.08431354992	3.678009040380705	3.678009040380705	2.445712379564965	6.755168326842606	128485.08431354992	5627.4369906401225	0.9999985337242601	0.9999985337242601	false	false	false	false	true	ok		128.452374076
crauste_7_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	scalar_log	Scalar log-space	top_fit_3	top_fit_3	1.7074689827099852	12.896773498588944	3.3440408831817333e7	3.678009040380705	3.678009040380705	1.6826781497547991	1.6826781497547991	3.1211887293822303e7	3.1211887293822303e7	0.9999986399872483	0.9999986399872483	false	false	false	true	true	ok		137.433920072
crauste_7_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	oracle_best	oracle_best,top_fit_2	0.3565602453218376	0.9999862652718196	266293.65920579806	2.22382879566379	2.385488832727355	0.3565602453218376	1.0145285241424968	266293.65920579806	69295.93874402977	0.9999902966162465	0.9999955913440272	false	false	false	false	true	ok		4.34989189
crauste_7_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	fit_selected	fit_selected,top_fit_1	2.445712379564965	43.24778761061947	128485.08431354992	2.22382879566379	2.385488832727355	2.4454356214689272	2.4454356214689272	128272.64533505568	128272.64533505568	0.9999864011600867	0.9999980000020001	false	false	false	true	true	ok		4.106953374
crauste_7_1em4	residual_lso_lm_bounded_log	Bounded LeastSquaresOptim LM log-space	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	top_fit_3	top_fit_3	1.7074689827099852	12.896773498588944	3.3440408831817333e7	2.22382879566379	2.385488832727355	1.693153351299139	1.693153351299139	2.582236696650883e7	2.582236696650883e7	0.9971053713156242	0.9999815811641629	false	false	false	true	true	ok		5.189540228
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	scalar_log	Scalar log-space	oracle_best	oracle_best	2.22382879566379	23.89926045617372	4.229825756599654e10	3.678009040380705	3.678009040380705	0.777675639906514	0.777675639906514	2.5618646801622647e8	2.5618646801622647e8	0.9979326994765846	0.9979326994765846	false	false	false	true	true	ok		81.366707679
crauste_7_1em4	residual_fastlm_bounded_log	Bounded FastLevenbergMarquardt log-space	scalar_log	Scalar log-space	fit_selected	fit_selected,top_fit_1	2.385488832727355	32.00330033003299	1.4082900354750842e8	3.678009040380705	3.678009040380705	2.385488832727355	5.552429010307742	1.4082900354750842e8	1.1400078522302492e8	0.9999950322959927	0.9999950322959927	false	false	false	false	true	ok		111.589228453
